               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.024291,           0.0091234,            0.007996,              0.9888,             0.97512,               0.995,             0.72342,            0.015171,           0.0032463,           0.0019015,            0.002872,            0.002872,            0.002872
                  38,            0.023498,           0.0091889,           0.0089427,              0.9938,                   1,               0.995,             0.84393,             0.01228,           0.0030362,          0.00097021,            0.002674,            0.002674,            0.002674
                  39,            0.023394,           0.0093259,            0.009101,              0.9947,                   1,               0.995,             0.85371,            0.010885,            0.002974,          0.00099919,            0.002476,            0.002476,            0.002476
                  40,             0.02337,           0.0093192,           0.0081339,             0.99502,                   1,               0.995,             0.87795,            0.010726,           0.0029681,          0.00089485,            0.002278,            0.002278,            0.002278
                  41,            0.022653,           0.0094569,           0.0081853,             0.99419,                   1,               0.995,             0.86211,            0.010044,           0.0028742,          0.00071317,             0.00208,             0.00208,             0.00208
                  42,            0.022803,           0.0093158,           0.0082052,             0.99455,                   1,               0.995,             0.84866,           0.0098142,           0.0028811,          0.00065695,            0.001882,            0.001882,            0.001882
                  43,            0.021404,           0.0086564,           0.0084252,             0.99544,                   1,               0.995,             0.83438,            0.010866,           0.0029444,          0.00061565,            0.001684,            0.001684,            0.001684
                  44,            0.021725,           0.0091107,            0.007132,             0.99613,                   1,               0.995,             0.85079,            0.010307,           0.0029745,          0.00061086,            0.001486,            0.001486,            0.001486
                  45,            0.023038,           0.0090987,           0.0084315,             0.99523,                   1,               0.995,              0.8604,           0.0099687,           0.0028997,          0.00057265,            0.001288,            0.001288,            0.001288
                  46,            0.021011,           0.0090779,            0.007858,              0.9948,                   1,               0.995,             0.87524,           0.0091633,           0.0028314,          0.00056196,             0.00109,             0.00109,             0.00109
                  47,            0.019785,            0.009109,           0.0066652,              0.9948,                   1,               0.995,             0.87543,           0.0088381,           0.0027201,          0.00053655,            0.000892,            0.000892,            0.000892
                  48,            0.021014,           0.0088958,           0.0060893,               0.995,                   1,               0.995,             0.87037,           0.0088889,           0.0026729,          0.00053169,            0.000694,            0.000694,            0.000694
                  49,            0.019388,           0.0083797,           0.0088484,             0.99539,                   1,               0.995,             0.86866,           0.0086303,           0.0026584,          0.00052752,            0.000496,            0.000496,            0.000496
